subject,alpha_mean,alpha_median,alpha_hdi_low,alpha_hdi_high,beta_mean,beta_median,beta_hdi_low,beta_hdi_high,r_hat_alpha,r_hat_beta,shrinkage_alpha,shrinkage_beta,n_trials
5987bfb80e411a0001d83837,0.15279930669676356,0.03645038137496109,0.0,0.9182320582635373,1.5994906197978553,0.5242051066887714,0.0008256174708166581,6.553417300184094,1.0030244027018724,1.0008650424059473,-0.029182783952329344,0.3776916561862511,48
5b2150d538b0be00014137fb,0.18335840396174893,0.04243766353858781,0.0,0.9735531803082025,1.743476828308909,0.5550487835115608,0.0009146463127483315,7.046262245624007,1.002747450533666,1.006845312561985,0.00137631331265603,0.5216778646973048,48
5d83b53430e67e0018bf3b38,0.19136925936129418,0.04094686105169041,1.2442612461365834e-225,0.9851100466910486,2.171933313170515,0.6196774792896584,0.00023693304587508185,8.75928353830212,1.0050685201176177,1.0014243330223829,0.009387168712201271,0.9501343495589107,48
5dd0dce9ed7ea418f59810e4,0.16167450424730168,0.04189318040852552,0.0,0.9284318067686058,1.7700208729820652,0.529843240990873,0.0007243065095813288,7.047687619642611,1.0007764863931752,1.0021381633088242,-0.020307586401791228,0.548221909370461,48
5e6473fbc15dbe1f71eea95b,0.16474179249772758,0.03376090542804257,0.0,0.9703297092711051,1.3497451687187574,0.503355465671286,8.750053072375327e-05,5.331997628763867,1.0021751373585632,1.0037071282344205,-0.017240298151365324,0.12794620510715315,46
5e92178e8ee4fe54b65b7c39,0.1950047318510361,0.05117598654027472,0.0,0.978708956560724,2.895167380637664,0.5591550294567428,0.00013178233116770642,11.834173232385174,1.0038231181355155,1.0036184994661221,0.013022641201943186,1.6733684170260597,48
5ee7fbc114d0a60f9b076fb6,0.1793427358125718,0.03807776527734074,0.0,0.9798466590688365,1.7014723091123345,0.5007190305027442,0.0007542382066909694,7.103790567142861,1.0024607168444206,1.001435726320558,-0.002639354836521113,0.47967334550073026,48
602e48dbf732e9962e27fdbd,0.1749936681380728,0.039082514986373273,0.0,0.9672624484573987,1.4744861042134427,0.5757387627929752,0.0005397957279287928,5.694026550412666,1.003747696594772,1.0031956383756242,-0.006988422511020109,0.2526871406018385,48
60a59d92b7363e85a2945dde,0.16436847902211235,0.03923975693143055,0.0,0.9501015295876224,5.71349727072359,0.8328929675313117,0.0006704324526211097,29.518106965419754,1.0050996850738714,1.0018802518629553,-0.017613611626980552,4.491698307111985,48
60fcd2ade28cc412d542108c,0.1670821851548503,0.04270790808745136,0.0,0.9416145906655804,1.4862722919310196,0.47457299255703017,7.284795945142944e-05,5.776716805747234,1.0043651016528237,1.0020185200382474,-0.01489990549424261,0.2644733283194154,48
612376826a580ca0368bb19f,0.15956357272938484,0.03287033540870024,0.0,0.9556007159815061,0.8722035957950207,0.3799958790973604,0.0010157478682222946,3.2815447519383794,1.002518389202816,1.0012301698576087,-0.02241851791970806,-0.3495953678165835,48
615ab5adc70f6edcacba5860,0.1756173061834946,0.034475841393341505,0.0,0.970728990010023,1.2833465789231322,0.5345055242044092,4.6407556961777836e-05,4.898310387480877,1.0070113129527456,1.0007679435230217,-0.006364784465598294,0.06154761531152797,48
6162fc52fa68079d28dc5be9,0.18614530424420841,0.0435805578680676,0.0,0.9787966273825144,3.6133262741102428,0.820359338188419,0.0002451154405398781,15.904117268787086,1.0037315652206553,1.0059177216777233,0.004163213595115511,2.3915273104986383,48
63039f41fa5c21d483996be2,0.17446554976471348,0.03588787375703705,0.0,0.9756689295704603,1.6246728206343368,0.4940609956194453,0.0002861934862764953,6.358150275109572,1.0024712338520356,1.0019640083880412,-0.007516540884379419,0.4028738570227326,48
650f65aac58fe4dc08bbe23f_2,0.16451599929017746,0.038731547132194344,0.0,0.9460429528348288,1.6296225147901657,0.5394501657105932,0.00036884864694641594,6.25117615678245,1.0028905582203718,1.0031582393018679,-0.017466091358915442,0.4078235511785615,48
654fd3d72b14d852c7fff2b4,0.17354439829549534,0.04411242675565213,0.0,0.9615957346745834,2.903995445841791,0.6738088864754533,5.884525497131853e-05,12.000049249184332,1.0032269691473208,1.0015895124356968,-0.008437692353597565,1.682196482230187,48
6550edd3c5d5a51c51ab1224,0.17664483772395653,0.03939695470471467,0.0,0.9793597802950089,2.0961193340956594,0.5833445974240311,0.00010183199355451672,8.585318124291012,1.0047586145460852,1.0038975909174372,-0.005337252925136371,0.8743203704840552,48
656bb5b282d8f0267db9d167,0.16243306043062214,0.035626279404010586,0.0,0.9598212545469915,1.2672382702362228,0.4623301854199421,0.00018569710904137792,4.802720666952862,1.0011522545984688,1.0025401147517117,-0.019549030218470764,0.04543930662461859,48
65ccca52871269168cc029b5,0.19338660890331325,0.05408400084603189,0.0,0.9672400322505071,9.747656314127719,1.3752908560681703,0.00044902205448461667,44.94466783881607,1.001820425624609,1.0005223083257926,0.011404518254220342,8.525857350516114,48
65f2f5ae1f9747ed36bd7226,0.16371144371245444,0.035221977872449364,0.0,0.9623780273376601,1.829628397754354,0.5712380622277017,0.0001800131815747599,6.937046135320709,1.00482982454675,1.0018501359586505,-0.018270646936638463,0.6078294341427497,48
65feaaac53eb219f09ad5ea0,0.18003964201072403,0.04215086695948164,0.0,0.9722353718419231,3.6898133300894376,0.6826833047832437,0.00019127634980228386,16.978107692668647,1.0038270474279274,1.0006629627222676,-0.001942448638368871,2.468014366477833,47
65ff850ad8ac7b0e4cf9ec57,0.1533797231317116,0.03560455874413919,0.0,0.9288736710256701,1.790323109658361,0.6038622769598389,0.0004408802737432288,6.789795274055357,1.0021498179924193,1.0011311704229815,-0.028602367517381294,0.5685241460467567,48
660bdc29f5dec2745c7e7ee3,0.18472958044259294,0.04364404475375251,2.1785828314628678e-262,0.9718830336644024,2.3659553703832463,0.5702444127330378,0.0010453675803922295,9.722031386809487,1.0026057540531497,1.001063418443136,0.0027474897935000353,1.144156406771642,48
660d675bbdf59327d9deb4ad,0.17319978026896476,0.03885670627029785,0.0,0.9689567551528757,2.502847905434937,0.7684735075583045,4.5399929762484854e-05,10.957679093668819,1.0052848907251517,1.0012373254790754,-0.008782310380128139,1.2810489418233326,47
6613f83d1a9cf059d0af91ec,0.18346624495872707,0.040899271716154456,0.0,0.9680885367667716,3.252798388368422,0.5987938042931826,4.5399929762484854e-05,11.478549597344601,1.0032871233278224,1.0013765708803346,0.001484154309634167,2.0309994247568177,48
6614fb6af3c5aa23b962ea2d,0.17676664384450655,0.03976628379479061,0.0,0.9641756384584522,1.396147371950613,0.5484072087594535,0.0009031848053711073,5.4333903804946395,1.0045750518968446,1.0012486938837741,-0.0052154468045863545,0.17434840833900878,48
6631997e0554bb6d25062fd4,0.16015945070864418,0.03987664067085651,0.0,0.9321869384189402,1.9247011716798388,0.5818567790581366,0.00020784979605211005,8.150168352845784,1.003065148556072,1.0005703457364474,-0.021822639940448724,0.7029022080682346,48
663636e1e732142a9c211523,0.1734328246812953,0.040320293102066786,0.0,0.9575178234413525,2.8678118536603754,0.6699689070365001,8.11962700207316e-05,11.810860236534774,1.0054961940082214,1.0028510002624544,-0.008549265967797592,1.6460128900487712,48
664c9a37d570871d534dd3c2,0.1941067315991503,0.049765780470946076,0.0,0.9685560331408289,2.3325453837838674,0.6696316430952777,0.00011805522847689868,9.504737777473329,1.0029522795556776,1.0035560557570777,0.012124640950057386,1.1107464201722632,48
66723b1f7c3cf6961f0868a3,0.18047739135433755,0.039025825505546244,0.0,0.9787773751802679,1.1716150308329922,0.4943524586815552,9.648807162625358e-05,4.36460363210304,1.004335140804723,1.0019811628619868,-0.0015046992947553572,-0.050183932778611995,48
667a7ab2a6179deb78e9dd1a,0.16289379365406273,0.033841196830830554,0.0,0.9531542811767698,1.2244820406501467,0.4712043863681744,0.00011354410065581036,4.83510371622442,1.0025770009503037,1.0002182541691462,-0.019088296995030174,0.002683077038542425,48
667bd577710d52a05ac09036,0.19359591995594175,0.05170126987747069,0.0,0.9901037136752492,3.058513238313683,1.253926771363018,0.0002677933799064977,12.040273489061656,1.0054904266162124,1.001243261884587,0.011613829306848844,1.8367142747020788,48
669533c82c03a4d6320159d3,0.1762828938133106,0.03555867304026787,0.0,0.9653387287928921,1.131915553846882,0.4684828747906614,0.00029213194632505396,4.157674521063996,1.0019786780180373,1.0073744210811704,-0.005699196835782294,-0.08988340976472231,48
66b0cd32e02e57ac86e82550,0.1827981226548375,0.042193409156480226,0.0,0.9701671760451469,1.724906063551527,0.5826089425633055,4.896354522712627e-05,6.963865088699935,1.0055017240037072,1.0036820492425114,0.0008160320057445936,0.5031070999399228,48
66b0ce2b37f5b9ab41e82585,0.19827887395298854,0.04578162695294743,0.0,0.977188009848526,2.3924344821458394,0.677022293910604,0.0001297509229967474,9.37196447390651,1.0041232025334665,1.0033956859748834,0.01629678330389564,1.1706355185342352,48
66cc85c87017ef38adbaebc6,0.17853814109011623,0.042272076677274006,0.0,0.9594348008758483,2.834810967771873,0.6968584112106162,4.5399929762484854e-05,12.1122960526083,1.0028656940875018,1.0050598180015544,-0.003443949558976672,1.6130120041602687,48
67911b9be5af0ac0763a28c7,0.18230218202464551,0.04311643766068782,1.1909835207333025e-143,0.9722965578202378,1.7430785397951751,0.448141581495098,0.0001041213633838642,7.3523294540312145,1.0037039460230983,1.0013643906528356,0.00032009137555261136,0.5212795761835709,48
67cc3f4c640c0ff4df30a225,0.1628588578584422,0.039498311820115185,0.0,0.9256561501353846,2.7414143485272544,0.7185377435597727,0.0002768739907176392,12.296523255367138,1.0046586126771948,1.0017398744558836,-0.0191232327906507,1.5196153849156502,48
