subject,alpha_mean,alpha_median,alpha_hdi_low,alpha_hdi_high,beta_mean,beta_median,beta_hdi_low,beta_hdi_high,r_hat_alpha,r_hat_beta,log_likelihood,n_trials
5987bfb80e411a0001d83837,0.41725166821907905,0.4088522607806263,0.002506573494073107,0.8390568020153752,0.6573576215826765,0.5250070174436618,0.0099094989802168,1.623211444418182,1.0001950468702654,1.0026884219072076,-34.2012694033688,48
5b2150d538b0be00014137fb,0.4065128914882863,0.40501755405888284,0.0004058082645812637,0.8487167064279433,0.6204394145917934,0.3605555923776051,0.006003616481643936,2.1225438145158506,1.0002833777748807,1.010768911857769,-36.11037477049565,48
5d83b53430e67e0018bf3b38,0.39368975763802005,0.38106354890944183,0.0003720136353728906,0.8405391387547483,0.23771397371163722,0.13194053675107112,0.0017854504863421827,0.8192531110154427,1.0015427998322717,1.0043969187916886,-36.65304054384727,48
5dd0dce9ed7ea418f59810e4,0.36352885674373225,0.3365120914424392,0.0004843530543584898,0.8177428299819244,0.526156379283892,0.2929268296253213,0.0022881217755996996,1.6322733556528946,1.004495504790687,1.0257067654172727,-36.34352835508668,48
5e6473fbc15dbe1f71eea95b,0.4432349617704836,0.4477197988656338,0.017685876565544253,0.8250380986869594,1.6667659506131363,1.4356423206365945,0.2926711672819009,3.216256577843625,1.0007378350861587,1.008984837958425,-28.277757905572827,46
5e92178e8ee4fe54b65b7c39,0.4240852950787204,0.42198593702077425,0.0016715077758754637,0.8351509318801977,0.2730316210866597,0.20374439344737788,0.0028928110172267707,0.6908457983225775,1.0007744228716122,1.0048955741155312,-35.47520794804452,48
5ee7fbc114d0a60f9b076fb6,0.39576424373491587,0.37636164735550254,0.0015205108032311232,0.8372249839414496,0.5266276645446583,0.39311238897457934,0.005293403545031661,1.4731503144659752,1.0018970541610335,1.002347105768108,-35.113968830513485,48
602e48dbf732e9962e27fdbd,0.3376524296517255,0.30317946039918087,0.0032664016686213687,0.7820916692653925,0.8603507016492707,0.5977781562196598,0.01084648445524694,2.590618093282646,1.0008040658108743,1.0039118656603137,-34.82599823865024,48
60a59d92b7363e85a2945dde,0.3944456657894736,0.3746054507265477,0.0027221699745074157,0.8307956958716398,0.7036115453819832,0.5023251125008943,0.0053892471295697575,1.9945032534471185,1.0002282498812989,1.002171493905877,-34.77756418225853,48
60fcd2ade28cc412d542108c,0.5833421203184975,0.603764712367894,0.1760367880040956,0.9648187271131741,1.0719494850060731,1.0358740849068964,0.29731941976067205,1.8855460460533118,1.0002877613531,1.0010765753957949,-31.10375775317267,48
612376826a580ca0368bb19f,0.4155192861099763,0.4174899620599288,0.0006957334285054087,0.8477182393688679,0.4766324334714945,0.29252280762575356,0.002847818378313105,1.5062585425486055,1.005074471928475,1.0114229635230252,-35.96539127433933,48
615ab5adc70f6edcacba5860,0.3396967359597135,0.2985449162990621,0.001699268332273074,0.8000652844174204,1.0156886984349889,0.6045492873135807,0.004925079973983948,3.191589756604731,1.0037297535282996,1.010598798004584,-35.49043409484655,48
6162fc52fa68079d28dc5be9,0.3850820260051941,0.36230271026719696,0.0028318002947406162,0.8257157642795054,0.5788588947141269,0.43644828096620836,0.002294868251880744,1.5577963982294765,1.0011345014175403,1.001768958857008,-34.896932337755615,48
63039f41fa5c21d483996be2,0.4244385984904565,0.40926453206683566,0.010216410201621895,0.8423297080264062,1.7807327927497572,1.4766486426172682,0.4106682511819997,3.717387449962107,1.0029097087907186,1.0150896443555868,-28.888298833264297,48
650f65aac58fe4dc08bbe23f_2,0.38184580461175777,0.3557797842502254,0.001282766527319186,0.8425749424030653,0.6950283525098683,0.3866658523765324,0.010564042901702708,2.4656682450403737,1.0037279264087482,1.0171512001766965,-36.42226277624743,48
654fd3d72b14d852c7fff2b4,0.3623080936046763,0.3350153170782851,0.0005066051674972628,0.8118421618607163,0.30602322295557366,0.18713394830568142,0.000955964837121237,1.0496191560061896,1.000040990224594,1.0050562447141613,-36.25887803968518,48
6550edd3c5d5a51c51ab1224,0.3539182676290527,0.3236380132957216,0.0004932955195426358,0.8150635111842314,0.28190517592494335,0.1563192592173235,0.0005748396762154939,0.896205783653381,1.0036176433676898,1.0053758666967305,-36.836829208476054,48
656bb5b282d8f0267db9d167,0.43435026388248277,0.4306797993725172,0.007097628762814376,0.8517419193463672,0.8001971452608293,0.6441234655196583,0.025583489888413857,1.884309403325704,1.0002819263756895,1.0040082577246776,-33.79902988471433,48
65ccca52871269168cc029b5,0.40958489229866657,0.39986400915909837,0.0008519181557585798,0.8359433491207605,0.5701225108963649,0.38687255207367505,0.004451671076473596,1.3842510468039906,1.00487414421775,1.0266237491874322,-35.31138235647077,48
65f2f5ae1f9747ed36bd7226,0.3672921655403346,0.337152157096383,0.0011649182291462307,0.8273224163055917,0.4739993422767891,0.2875083930426283,0.001735765056499028,1.473920555724278,1.0026429500032077,1.0079865665747942,-36.20996458730894,48
65feaaac53eb219f09ad5ea0,0.3703923319044692,0.34027513106555296,0.004241989474211089,0.8138345592886864,0.8264740431199041,0.6159525929563826,0.014790413337847086,2.1383452786256045,1.0084737458696054,1.008066816650434,-33.57493387540209,47
65ff850ad8ac7b0e4cf9ec57,0.570883643123453,0.5934432039142558,0.14623849130146516,0.9566113716942288,1.3721990245004532,1.3217519263696063,0.45507111997477034,2.2803262937270663,1.0003344113795005,1.0020696165254583,-28.970214736307994,48
660bdc29f5dec2745c7e7ee3,0.38901235341140566,0.37623036145495736,0.00016175358864045641,0.8216822580819487,0.2675875596863317,0.14393910996620915,0.0010847034321768423,0.8449723032560021,1.0000680001639761,1.006986019175904,-36.54729115592704,48
660d675bbdf59327d9deb4ad,0.4307405464418663,0.42853585536207617,0.0002245865289029203,0.8551996022484627,0.4493721697888943,0.3130156214314766,0.0035549874352072686,1.2119573650924962,1.0006422860924362,1.0024956670965672,-34.804503505506325,47
6613f83d1a9cf059d0af91ec,0.3553048203462974,0.3298898419011,0.00043941714755676986,0.8032500874983481,0.2505455325337506,0.14391072168884106,0.0007629575266906719,0.8094074083819744,1.0038162536860136,1.0125657147749163,-36.570357493104254,48
6614fb6af3c5aa23b962ea2d,0.3697714987544772,0.34354695127577495,0.061679780268668494,0.7234582410172148,2.7708789513319676,2.6253259221270016,1.199620502311038,4.605229562153129,1.0012204535666251,1.0000221680108141,-21.926811960105017,48
6631997e0554bb6d25062fd4,0.33249963982805525,0.29487349734738505,0.00025220671954062635,0.7996330215704878,0.3550910915233035,0.1622844910689062,0.0005262769350093677,1.2521975893140893,1.003507359703791,1.0077223417612924,-37.62376885054974,48
663636e1e732142a9c211523,0.35789762972916855,0.3329806731577718,0.0005554929865895647,0.8109411591141585,0.34892492027510197,0.18906047019523065,0.0014013701851582627,1.211454959063599,1.0023458391008315,1.0148277460355337,-36.758622228133284,48
664c9a37d570871d534dd3c2,0.3597960327840758,0.32898379540648987,0.0010788157921602926,0.8016821999279915,0.5966886399215712,0.4046360448948987,0.0011401019507891186,1.6267785533084136,1.001368715362991,1.0147712725706821,-35.519866542362976,48
66723b1f7c3cf6961f0868a3,0.3979099234475437,0.3807940067645659,0.0018202094309958498,0.8202087073444895,0.8214454081528474,0.5975708083777316,0.007547464753985503,1.885137233821617,1.0076202731906947,1.0211899875233876,-34.35142388712921,48
667a7ab2a6179deb78e9dd1a,0.5932297739601327,0.6086099117916282,0.23198745227419806,0.9597488256510167,2.5463691353452167,2.4829099492148297,1.2994315911943648,3.8535331616665913,1.000297143675251,1.0008734439608444,-21.53429391488945,48
667bd577710d52a05ac09036,0.16433212549829784,0.10841574752644798,0.006935933515257592,0.5199294634140126,3.2767674207496684,2.642396032956137,0.12845219711706068,8.251984265239278,1.0040824836026698,1.0049476444241594,-32.5929454206508,48
669533c82c03a4d6320159d3,0.3969837342712154,0.3826853511458449,0.0009803076661431265,0.8385464169638468,0.29758343069819604,0.179271395569087,0.0008173298905177345,0.8648490081444952,1.005333514254404,1.0291929385578777,-36.23612527588503,48
66b0cd32e02e57ac86e82550,0.35036248141655846,0.3239536360508031,2.070772528429965e-05,0.8126014282977758,0.49364931622200287,0.17773101013291612,0.0014849021185789207,2.01714436067377,1.0056564077416004,1.0160246388678107,-38.97137998727111,48
66b0ce2b37f5b9ab41e82585,0.4442352194162776,0.43887900500305643,0.002987785032283141,0.8565597117925221,0.33188936627898136,0.25963049506739766,0.004214571763697231,0.8044757289397595,1.0018743150666591,1.004734024822771,-35.3601053630527,48
66cc85c87017ef38adbaebc6,0.34540072826964957,0.31387170432652955,0.00033301112348527173,0.8042809728714881,0.38904655804995425,0.19823041274724873,9.767448055092443e-05,1.3051530576953128,1.0010852879157828,1.0133972241206652,-37.12103315402337,48
