subject,alpha_mean,alpha_median,alpha_hdi_low,alpha_hdi_high,beta_mean,beta_median,beta_hdi_low,beta_hdi_high,r_hat_alpha,r_hat_beta,shrinkage_alpha,shrinkage_beta,n_trials
5987bfb80e411a0001d83837,0.3005668167125688,0.05540327646669067,0.0,0.9999034766981708,0.12864021993090285,0.04022133228659788,4.5399929762484854e-05,0.4916792411911996,1.000870549570141,1.0044908474436913,-0.0961083670242408,0.032781062286214746,48
5b2150d538b0be00014137fb,0.37799870569312105,0.12837889012201933,0.0,0.9999999998453868,0.2881793604640195,0.05079194206014561,5.3690752823778335e-05,0.6274791214472811,1.0012901666148266,1.0003728401836762,-0.01867647804368855,0.19232020281933138,48
5d83b53430e67e0018bf3b38,0.31540206203198146,0.05137609931686792,0.0,0.9999991738631745,0.14148646466296222,0.041697048157179936,4.9039003291080064e-05,0.5350222905954077,1.0016234935371746,1.000860669757443,-0.08127312170482814,0.04562730701827411,48
5dd0dce9ed7ea418f59810e4,0.34862671080111823,0.09708771539729455,4.5084625641126876e-225,0.9999999683434274,0.1260932029638696,0.040135100207569434,4.5399929762484854e-05,0.42072109593099977,1.0011918811633522,1.0027291528719222,-0.048048472935691366,0.0302340453191815,48
5e6473fbc15dbe1f71eea95b,0.48658522115055836,0.45144479570861906,6.556181917541581e-06,1.0,0.29617473356862495,0.04946211039211397,0.00018706880084080448,0.8242284130512653,1.000086625135437,1.0020758470398756,0.08991003741374876,0.20031557592393684,46
5e92178e8ee4fe54b65b7c39,0.31053617697707275,0.05045429835995214,0.0,0.999999023414915,0.16913733517030943,0.04528489882020221,0.0001158619215778442,0.6937711199220855,1.0002279815639876,1.0055212832850298,-0.08613900675973685,0.07327817752562132,48
5ee7fbc114d0a60f9b076fb6,0.4048255407855184,0.22060633322569523,0.0,0.9999999962371819,0.14522366640677872,0.04188967995403299,5.416588745952368e-05,0.45601515804914716,1.0037009280514204,1.0007434984378032,0.008150357048708812,0.049364508762090614,48
602e48dbf732e9962e27fdbd,0.444862204263427,0.3105440779229543,3.429728809624039e-10,1.0,0.10155124693093225,0.038639763696645124,4.5399929762484854e-05,0.3841525629694076,1.0046486091297728,1.002578584641649,0.048187020526617386,0.005692089286244137,48
60a59d92b7363e85a2945dde,0.3839263134859571,0.14391884366311036,3.560785462568429e-246,0.9999999992429418,0.1816221533246474,0.046342379884401715,0.00016342275773633376,0.5465133719489491,1.0009993524784548,1.001307353116777,-0.012748870250852473,0.08576299567995929,48
60fcd2ade28cc412d542108c,0.3810376489330243,0.16580659626862332,0.0,0.9999999780818452,0.20039770338607485,0.0589582655203188,4.5399929762484854e-05,0.8773194502234122,1.000060275312506,1.0012127026784214,-0.015637534803785325,0.10453854574138674,48
