subject,trial,state,chosen_color,Q_patternA_white,Q_patternA_black,Q_patternB_white,Q_patternB_black,p_patternA,p_patternB
5987bfb80e411a0001d83837,0,white_high,black,0.5,0.5,0.5,0.5,0.4902891424461511,0.5097108575538488
5987bfb80e411a0001d83837,1,black_high,white,0.5,0.5,0.5,0.28132882858955793,0.4902891424461511,0.5295516950710567
5987bfb80e411a0001d83837,2,black_high,white,0.28132882858955793,0.5,0.5,0.28132882858955793,0.5101606208690932,0.5295516950710567
5987bfb80e411a0001d83837,3,white_high,white,0.15829181959114574,0.5,0.5,0.28132882858955793,0.5213313776472273,0.5295516950710567
5987bfb80e411a0001d83837,4,white_high,white,0.15829181959114574,0.5,0.6312027028462652,0.28132882858955793,0.5213313776472273,0.5414155277437953
5987bfb80e411a0001d83837,5,black_high,white,0.15829181959114574,0.5,0.748759142527401,0.28132882858955793,0.5213313776472273,0.552006074770281
5987bfb80e411a0001d83837,6,black_high,white,0.08906410436177334,0.5,0.748759142527401,0.28132882858955793,0.527608039390568,0.552006074770281
5987bfb80e411a0001d83837,7,black_high,black,0.05011260029895166,0.5,0.748759142527401,0.28132882858955793,0.5311359455889728,0.552006074770281
5987bfb80e411a0001d83837,8,black_high,white,0.05011260029895166,0.5437342342820884,0.748759142527401,0.28132882858955793,0.5350933093960893,0.552006074770281
5987bfb80e411a0001d83837,9,white_high,black,0.028196238279361605,0.5437342342820884,0.748759142527401,0.28132882858955793,0.5370748180436584,0.552006074770281
5987bfb80e411a0001d83837,10,white_high,white,0.028196238279361605,0.5437342342820884,0.748759142527401,0.15829181959114574,0.5370748180436584,0.5630399060099247
5987bfb80e411a0001d83837,11,black_high,black,0.028196238279361605,0.5437342342820884,0.7711689391826184,0.15829181959114574,0.5370748180436584,0.5650432216469865
5987bfb80e411a0001d83837,12,white_high,black,0.028196238279361605,0.6120758703638592,0.7711689391826184,0.15829181959114574,0.5432459480091408,0.5650432216469865
5987bfb80e411a0001d83837,13,white_high,white,0.028196238279361605,0.6120758703638592,0.7711689391826184,0.08906410436177334,0.5432459480091408,0.5712181290048024
5987bfb80e411a0001d83837,14,white_high,black,0.028196238279361605,0.6120758703638592,0.740043748584415,0.08906410436177334,0.5432459480091408,0.5684444780872011
5987bfb80e411a0001d83837,15,black_high,white,0.028196238279361605,0.6120758703638592,0.740043748584415,0.05011260029895166,0.5432459480091408,0.5719148569851998
5987bfb80e411a0001d83837,16,white_high,white,0.015864829371529707,0.6120758703638592,0.740043748584415,0.05011260029895166,0.5443580960173491,0.5719148569851998
5987bfb80e411a0001d83837,17,black_high,black,0.015864829371529707,0.6120758703638592,0.678796687481088,0.05011260029895166,0.5443580960173491,0.5664550072388566
5987bfb80e411a0001d83837,18,white_high,black,0.015864829371529707,0.6942630494915046,0.678796687481088,0.05011260029895166,0.5517585922435625,0.5664550072388566
5987bfb80e411a0001d83837,19,white_high,white,0.015864829371529707,0.6942630494915046,0.678796687481088,0.028196238279361605,0.5517585922435625,0.5684106601312321
5987bfb80e411a0001d83837,20,black_high,white,0.015864829371529707,0.6942630494915046,0.6006013252894955,0.028196238279361605,0.5517585922435625,0.5614237375939234
5987bfb80e411a0001d83837,21,black_high,black,0.00892646772573133,0.6942630494915046,0.6006013252894955,0.028196238279361605,0.552382351475008,0.5614237375939234
5987bfb80e411a0001d83837,22,white_high,black,0.00892646772573133,0.7405062951496258,0.6006013252894955,0.028196238279361605,0.5565353206271791,0.5614237375939234
5987bfb80e411a0001d83837,23,black_high,white,0.00892646772573133,0.7405062951496258,0.6006013252894955,0.015864829371529707,0.5565353206271791,0.5625272677217051
5987bfb80e411a0001d83837,24,white_high,white,0.005022545417444981,0.7405062951496258,0.6006013252894955,0.015864829371529707,0.5568855672179579,0.5625272677217051
5987bfb80e411a0001d83837,25,black_high,white,0.005022545417444981,0.7405062951496258,0.7315410431248554,0.015864829371529707,0.5568855672179579,0.5742047545220752
5987bfb80e411a0001d83837,26,white_high,black,0.0028259736376552978,0.7405062951496258,0.7315410431248554,0.015864829371529707,0.5570826113056053,0.5742047545220752
5987bfb80e411a0001d83837,27,white_high,white,0.0028259736376552978,0.7405062951496258,0.7315410431248554,0.00892646772573133,0.5570826113056053,0.5748213479830598
5987bfb80e411a0001d83837,28,black_high,white,0.0028259736376552978,0.7405062951496258,0.8052152779937934,0.00892646772573133,0.5570826113056053,0.5813538644255978
5987bfb80e411a0001d83837,29,white_high,white,0.0015900557062130736,0.7405062951496258,0.8052152779937934,0.00892646772573133,0.5571934717772875,0.5813538644255978
5987bfb80e411a0001d83837,30,white_high,black,0.0015900557062130736,0.7405062951496258,0.8029344160975256,0.00892646772573133,0.5571934717772875,0.5811520408880071
5987bfb80e411a0001d83837,31,white_high,black,0.0015900557062130736,0.7405062951496258,0.8029344160975256,0.005022545417444981,0.5571934717772875,0.5814974653967622
5987bfb80e411a0001d83837,32,white_high,white,0.0015900557062130736,0.7405062951496258,0.8029344160975256,0.0028259736376552978,0.5571934717772875,0.5816917860374469
5987bfb80e411a0001d83837,33,black_high,white,0.0015900557062130736,0.7405062951496258,0.5392456659940918,0.0028259736376552978,0.5571934717772875,0.5581999903223335
5987bfb80e411a0001d83837,34,white_high,black,0.0008946570184421326,0.7405062951496258,0.5392456659940918,0.0028259736376552978,0.5572558457664898,0.5581999903223335
5987bfb80e411a0001d83837,35,black_high,white,0.0008946570184421326,0.7405062951496258,0.5392456659940918,0.0015900557062130736,0.5572558457664898,0.5583107928623674
5987bfb80e411a0001d83837,36,white_high,black,0.0005033856219755033,0.7405062951496258,0.5392456659940918,0.0015900557062130736,0.557290940175439,0.5583107928623674
5987bfb80e411a0001d83837,37,white_high,white,0.0005033856219755033,0.7405062951496258,0.5392456659940918,0.0008946570184421326,0.557290940175439,0.558373134208286
5987bfb80e411a0001d83837,38,white_high,black,0.0005033856219755033,0.7405062951496258,0.6532845773289351,0.0008946570184421326,0.557290940175439,0.5685702459046275
5987bfb80e411a0001d83837,39,black_high,white,0.0005033856219755033,0.7405062951496258,0.6532845773289351,0.0005033856219755033,0.557290940175439,0.5686051377538425
5987bfb80e411a0001d83837,40,black_high,black,0.00028323377471838876,0.7405062951496258,0.6532845773289351,0.0005033856219755033,0.5573106860619241,0.5686051377538425
5987bfb80e411a0001d83837,41,black_high,black,0.00028323377471838876,0.8539938799761595,0.6532845773289351,0.0005033856219755033,0.5674641336795229,0.5686051377538425
5987bfb80e411a0001d83837,42,black_high,black,0.00028323377471838876,0.7429116014452195,0.6532845773289351,0.0005033856219755033,0.557526411275085,0.5686051377538425
5987bfb80e411a0001d83837,43,black_high,black,0.00028323377471838876,0.6366760725707943,0.6532845773289351,0.0005033856219755033,0.5479788963041843,0.5686051377538425
5987bfb80e411a0001d83837,44,black_high,black,0.00028323377471838876,0.7518387759134796,0.6532845773289351,0.0005033856219755033,0.5583268742841101,0.5686051377538425
5987bfb80e411a0001d83837,45,white_high,black,0.00028323377471838876,0.6854332499244232,0.6532845773289351,0.0005033856219755033,0.5523655813597882,0.5686051377538425
5987bfb80e411a0001d83837,46,black_high,black,0.00028323377471838876,0.6854332499244232,0.6532845773289351,0.00028323377471838876,0.5523655813597882,0.5686247696206208
5b2150d538b0be00014137fb,0,white_high,white,0.5,0.5,0.5,0.5,0.5655520277616362,0.43444797223836384
5b2150d538b0be00014137fb,1,white_high,black,0.5,0.5,0.602677973279949,0.5,0.5655520277616362,0.44974000663613795
5b2150d538b0be00014137fb,2,white_high,black,0.5,0.5,0.602677973279949,0.3288700445334183,0.5655520277616362,0.47542487292823693
5b2150d538b0be00014137fb,3,black_high,white,0.5,0.5,0.602677973279949,0.21631101238282505,0.5655520277616362,0.49239859432796496
5b2150d538b0be00014137fb,4,white_high,white,0.3288700445334183,0.5,0.602677973279949,0.21631101238282505,0.590750205046681,0.49239859432796496
5b2150d538b0be00014137fb,5,white_high,white,0.3288700445334183,0.5,0.6359874014769886,0.21631101238282505,0.590750205046681,0.4974267309878857
5b2150d538b0be00014137fb,6,white_high,black,0.3288700445334183,0.5,0.6578963477460749,0.21631101238282505,0.590750205046681,0.5007342850945344
5b2150d538b0be00014137fb,7,black_high,white,0.3288700445334183,0.5,0.6578963477460749,0.14227642455081693,0.590750205046681,0.5119089796521209
5b2150d538b0be00014137fb,8,black_high,black,0.21631101238282505,0.5,0.6578963477460749,0.14227642455081693,0.6070763773227341,0.5119089796521209
5b2150d538b0be00014137fb,9,black_high,white,0.21631101238282505,0.602677973279949,0.6578963477460749,0.14227642455081693,0.6217644636595041,0.5119089796521209
5b2150d538b0be00014137fb,10,black_high,white,0.14227642455081693,0.602677973279949,0.6578963477460749,0.14227642455081693,0.6322198877385385,0.5119089796521209
5b2150d538b0be00014137fb,11,black_high,white,0.09358090815616538,0.602677973279949,0.6578963477460749,0.14227642455081693,0.6390303629180626,0.5119089796521209
5b2150d538b0be00014137fb,12,white_high,black,0.06155191486559167,0.602677973279949,0.6578963477460749,0.14227642455081693,0.6434797909274164,0.5119089796521209
5b2150d538b0be00014137fb,13,white_high,white,0.06155191486559167,0.602677973279949,0.6578963477460749,0.09358090815616538,0.6434797909274164,0.519253233975594
