subject,alpha,beta,c_black,log_posterior,log_likelihood,n_trials
5987bfb80e411a0001d83837,0.43734234282088413,0.3635430957858937,-0.03884831527407024,-37.696584753772775,-33.14368391771484,47
5b2150d538b0be00014137fb,0.34225991093316344,0.6038770306030234,0.2637260985873503,-37.17591459288237,-32.95286251792598,48
5d83b53430e67e0018bf3b38,0.14571791998378988,5.166603972820702,-0.5072625822056082,-23.341372602809066,-19.1280952253718,48
5dd0dce9ed7ea418f59810e4,0.42632410791803427,1.126305205475766,1.0492650757189772,-31.035601756738032,-27.215692666937436,48
5e6473fbc15dbe1f71eea95b,0.4848161669649676,0.20944208326199307,-0.37132193408621006,-35.68904374834062,-30.633918889576215,44
5e92178e8ee4fe54b65b7c39,0.6791153024977007,4.7409717136879435,2.3392649905245646,-19.91556552285073,-15.666275055202387,48
5ee7fbc114d0a60f9b076fb6,0.33586669081317705,0.6851160109089025,1.3370823271474517,-29.088227051419285,-24.74035015205782,48
602e48dbf732e9962e27fdbd,0.5426678613505382,0.5533040262709884,0.6682038032175016,-34.75180594651742,-30.508557565384226,47
60a59d92b7363e85a2945dde,0.3861042174893003,0.9088671571941606,0.7953463768598078,-29.6363111452241,-25.70159823167395,42
60fcd2ade28cc412d542108c,0.1667312876010635,0.5177140422640375,0.1738560349718931,-34.32263654324685,-29.49663297903564,42
612376826a580ca0368bb19f,0.23619114034571959,1.0696960715881267,-0.2283092254057446,-35.60913760440736,-31.583328760560146,47
615ab5adc70f6edcacba5860,0.5287432328054823,1.229844440100795,-1.4927452595547033,-24.670969724019894,-20.7822178667211,41
6162fc52fa68079d28dc5be9,0.4357397098261897,0.9512758061476358,0.547951909256051,-33.5968392064726,-29.771763959593162,45
63039f41fa5c21d483996be2,0.4361288544266118,0.15190080397242306,0.6435113450745797,-36.46389668969637,-31.056674272972703,47
650f65aac58fe4dc08bbe23f_2,0.5154963263703454,0.7148275188322344,-0.014088057990900139,-36.31945864624198,-32.34063781053209,47
654fd3d72b14d852c7fff2b4,0.6366614181445732,5.636542373836776,0.29832709615032815,-17.38685955618716,-13.744669780109422,45
6550edd3c5d5a51c51ab1224,0.5542095364056472,3.836198545168202,0.22293230137766457,-20.47416629521653,-17.11803349853521,47
656bb5b282d8f0267db9d167,0.387186809058479,0.2935231042711079,0.4136045254330689,-36.344962329039205,-31.543844834724382,46
65ccca52871269168cc029b5,0.3660503519653893,1.1197609939221325,-1.5055225295014758,-27.709263044663,-23.687478932975672,48
65f2f5ae1f9747ed36bd7226,0.4312771636484493,0.9008599017341944,-0.369747712826854,-35.2415536571348,-31.396855109954707,48
65feaaac53eb219f09ad5ea0,0.4684792377931255,0.5081104698953222,0.855073090129345,-32.23898610466403,-27.89333846968193,46
65ff850ad8ac7b0e4cf9ec57,0.43583853697408953,0.29106131806849694,-0.12157867335836538,-35.27414870187312,-30.520610231164664,43
660bdc29f5dec2745c7e7ee3,0.6208314663786305,9.280646902944888,1.0097492457269166,-11.392646843913376,-6.935558998147023,48
660d675bbdf59327d9deb4ad,0.08433975967059891,4.072310713744245,1.301460778211564,-27.324949302612932,-22.58143535780618,43
6613f83d1a9cf059d0af91ec,0.46257054326137625,3.934779893342712,-0.04092361986416085,-19.93942549966374,-16.588013003303534,48
6614fb6af3c5aa23b962ea2d,0.41111845992890317,0.10592424876034562,-0.1670205417761574,-38.373817220146414,-32.654036139678716,46
6631997e0554bb6d25062fd4,0.6086766951794126,2.7732460643406247,1.1036645075730407,-22.172210103774017,-18.663313782900047,48
663636e1e732142a9c211523,0.5728586301146704,6.241985543463888,1.4602947090513843,-17.310825741586797,-13.369597265005272,45
664c9a37d570871d534dd3c2,0.39206951104482524,5.169864989582365,-1.0166393332219865,-20.810697558677017,-17.14949967744435,39
66723b1f7c3cf6961f0868a3,0.49471702346857155,0.7062963095477544,1.4589246845563324,-29.018862158697047,-24.765695144894448,48
667a7ab2a6179deb78e9dd1a,0.4825433525436433,0.140993130238518,0.29562598408937635,-38.409739367549186,-32.98770834099382,47
667bd577710d52a05ac09036,0.3914846539880921,0.7888530449286829,0.5962675254396427,-28.006743570872917,-24.0100825236925,36
669533c82c03a4d6320159d3,0.5640664765517365,3.8709045005639844,-1.397581917951121,-22.81012530682316,-19.208758098782194,48
66b0cd32e02e57ac86e82550,0.16010521528504754,6.067387463082169,-1.0825339072112985,-20.429852157667952,-16.0398792659016,46
66b0ce2b37f5b9ab41e82585,0.24823306083318478,6.637046957092167,2.29628474907111,-15.578669728916587,-10.903605457349997,43
66cc85c87017ef38adbaebc6,0.6426459042690783,1.657693877929418,-0.5044212545588658,-29.70709903038707,-26.13941636499231,48
67911b9be5af0ac0763a28c7,0.4471796062011317,8.97547695341185,1.6043029554618486,-10.235092989371221,-5.700972018276139,48
67cc3f4c640c0ff4df30a225,0.3749495777419594,3.7114648379130433,-0.7705163665154057,-29.068210947117265,-25.599833200805513,43
67d1d172e049a486152a5ce9,0.34220061798835594,0.6523812302780615,-1.3505715791715633,-23.023968250805854,-18.642611994812892,38
67eb5332af03cf75862d5e87,0.24811244839486624,0.5913767939222848,-0.41072701832954034,-36.86845641902777,-32.428349288886245,48
67f864f1b7ea815cc3583637,0.43957752095268465,0.9007951018096699,0.5082504637064129,-33.847607127348724,-29.99201844978516,47
680aac52abce2170943ff846,0.4269535569867428,0.24335832410868555,-0.22975496532842318,-38.642084106402216,-33.71572653750272,48
68598a1d4cebd213b2abb1d9,0.5096865325281016,14.674439590661835,-0.1715872127469968,-8.949788218696684,-3.336514691559684,48
68e541cbbf146b5c074849ac,0.20071124207244567,11.470530398792944,3.347263548340871,-13.68522737633501,-7.053504926330244,46
6902584f39b4b2ce82a5eda6,0.17702498718468843,5.775603041389885,0.6839231373967277,-22.342152740967965,-18.16828089607071,46
69124176667ec0990dfb9da1,0.6342928995080861,4.261874652337303,2.267430086750837,-17.3023955921009,-13.210107126574217,47
6917b43630e666e39c18fa7b,0.5218421567548477,0.3695537888930171,0.5028172466765515,-36.83130940189355,-32.275307355168096,48
692d65c6d41395358622de47,0.3881509380448008,0.4105271909138689,0.37639876776677733,-36.69114613657046,-32.19109964281268,47
692e41b6e14a945652e39997,0.6393486106024534,4.491607755854661,-0.42322588018206875,-17.756809968894828,-14.254728371565244,48
6932b19c5260dda743fca4af,0.36173375061589497,7.539544194536921,1.2720893425830426,-16.315802744760248,-12.13710924410013,44
69727a44c5c16e6541319a6a,0.4727111087494846,0.21290507969738956,0.5792490019017991,-37.14370406430503,-32.07705731821501,48
697a7ca703a2f04efb2de9e9,0.6147079396261121,5.30720943170883,-1.3318074224562657,-16.81234323069386,-13.032713235498553,48
697a8232cf359493f5c6f3fb,0.4246277281462309,0.21159654080634752,-0.3806634314473578,-37.6336892448604,-32.56513878873469,47
697cbad1e4fa658183a9a4ba,0.43732454849487434,0.1621873368587302,-0.2523670362410254,-39.08658885307153,-33.78587926857075,48
