subject,alpha_0,alpha_1,beta,c_black,log_posterior,log_likelihood,n_trials,n_ooz,n_non_ooz
5987bfb80e411a0001d83837,0.46287228711702966,0.48222116509107277,0.3586371434133097,-0.038966212314497525,-37.29704924530178,-33.14669524243021,47,16,31
5b2150d538b0be00014137fb,0.4004165132570564,0.462743102423727,0.5643342323299424,0.26508343930188694,-36.80634757654142,-32.9929203846913,48,12,36
5d83b53430e67e0018bf3b38,0.21017197627402529,0.18145700157988084,4.279455197332588,-0.48305880361885234,-23.49036846860259,-19.560014428288408,48,10,38
5dd0dce9ed7ea418f59810e4,0.4532770326327312,0.47364703535942293,1.1058848864867294,1.0466774206474998,-30.640201018095677,-27.225344489772077,48,12,36
5e6473fbc15dbe1f71eea95b,0.4469326313810847,0.5374429161860276,0.21566367549418652,-0.37186222998864427,-35.26848199863067,-30.629941519978743,44,16,28
5e92178e8ee4fe54b65b7c39,0.8370982429650456,0.23600199956773685,5.698853950833212,2.5938701873116288,-18.209563640557644,-13.27787215305682,48,19,29
5ee7fbc114d0a60f9b076fb6,0.3420242098806343,0.49696998924449115,0.6721302895379764,1.3344892995765019,-28.685226084606757,-24.737688534349026,48,18,30
602e48dbf732e9962e27fdbd,0.49884150341187944,0.5420054817381049,0.555895138784054,0.6658054420080998,-34.345680161609636,-30.512325759638927,47,9,38
60a59d92b7363e85a2945dde,0.4012533776758822,0.48932411381855534,0.8802828579269477,0.7890821210139739,-29.241073956367096,-25.703682345074693,42,14,28
60fcd2ade28cc412d542108c,0.3277868336620784,0.47370278415027595,0.3296621243552825,0.1768585897342343,-33.99161314226967,-29.640701605636586,42,10,32
612376826a580ca0368bb19f,0.22643525887709295,0.4940310383056634,1.0433674004797486,-0.22983908142522458,-35.20852833804459,-31.54231896253479,47,12,35
615ab5adc70f6edcacba5860,0.5198178853524758,0.5131171703032238,1.2339870178513097,-1.4942728140008907,-24.267356446003582,-20.78653065768566,41,8,33
6162fc52fa68079d28dc5be9,0.41728253461589965,0.5040246330910741,0.9575899380331853,0.5495663091734552,-33.18671439455808,-29.76023414105046,45,13,32
63039f41fa5c21d483996be2,0.4429300694823326,0.4944230158606719,0.15107653336036322,0.6434389519633223,-36.0607803563245,-31.05708306509614,47,10,37
650f65aac58fe4dc08bbe23f_2,0.47693286594614226,0.5350456716332872,0.7267222669980677,-0.011800448870401896,-35.90868512243785,-32.34178044223705,47,12,35
654fd3d72b14d852c7fff2b4,0.6093109738490242,0.5810088455162221,5.7854297679007844,0.27385421842874735,-17.03224085058812,-13.775776395766504,45,9,36
6550edd3c5d5a51c51ab1224,0.5241803214198559,0.5574939596975436,3.8930766373361014,0.22306016849057697,-20.07331518853803,-17.114571271365918,47,13,34
656bb5b282d8f0267db9d167,0.4413556979871946,0.46975587299792065,0.27985873222752145,0.41402738649119053,-35.95767798386713,-31.553596344937827,46,14,32
65ccca52871269168cc029b5,0.3782373664526749,0.4957903714333929,1.0930219578454115,-1.4981710698843804,-27.30864939360586,-23.69310366597271,48,9,39
65f2f5ae1f9747ed36bd7226,0.42119396414582355,0.51004391152691,0.9057897805953197,-0.36980955969112655,-34.82971205050505,-31.387800203867194,48,2,46
65feaaac53eb219f09ad5ea0,0.49369404659851124,0.47849289515494703,0.505087401808762,0.8548671005988636,-31.834903821937566,-27.891776759173876,46,15,31
65ff850ad8ac7b0e4cf9ec57,0.463970153953844,0.481860856075702,0.28665138473960833,-0.12125292581804117,-34.87479215396989,-30.523012236003595,43,14,29
660bdc29f5dec2745c7e7ee3,0.6542020470547463,0.4448578248743214,9.25474616987945,1.0402441331560954,-10.867536957700992,-6.761932022929954,48,9,39
660d675bbdf59327d9deb4ad,0.08257720202253567,0.21588485229390797,3.191067832163562,1.3122470165862072,-27.68995728766475,-22.98916524334774,43,12,31
6613f83d1a9cf059d0af91ec,0.32845651684683164,0.5751781774395706,4.1079488170714304,-0.0819108078891537,-19.374673046685846,-16.270962401922983,48,15,33
6614fb6af3c5aa23b962ea2d,0.42614940663822476,0.49056938301138353,0.104275650630799,-0.16678045451921017,-37.97438141117745,-32.65463549216246,46,10,36
6631997e0554bb6d25062fd4,0.5994382693977208,0.5147648350309251,2.783507389521137,1.1044687802152047,-21.778041557605604,-18.681828367618863,48,7,41
663636e1e732142a9c211523,0.1273071403720358,0.6501902204513413,7.889836198181452,1.6177136376167645,-15.286029916196714,-10.490563499278725,45,16,29
664c9a37d570871d534dd3c2,0.2614251564419899,0.6926938605895209,6.261636403133065,-1.0307140813635274,-19.279216167338276,-15.47613974748174,39,15,24
66723b1f7c3cf6961f0868a3,0.5066710111543288,0.4899162022753159,0.7050496586448579,1.4590161855379375,-28.61294599243137,-24.76338645505223,48,11,37
667a7ab2a6179deb78e9dd1a,0.4938303527864369,0.49009438753070206,0.14082660756905718,0.2956030651196659,-38.00481533175997,-32.98779969748417,47,13,34
667bd577710d52a05ac09036,0.18876635429994873,0.5948817840021751,1.4411995038012704,0.6511540518491352,-27.346770958935263,-23.653641968881296,36,8,28
669533c82c03a4d6320159d3,0.6227694771140286,0.42726437255697053,3.88946284494188,-1.4010192338882215,-22.35171419746677,-19.086188399100724,48,16,32
66b0cd32e02e57ac86e82550,0.19515566602006018,0.2236163848729019,5.200300116623996,-1.1030709207114624,-20.522463334136468,-16.45786332578993,46,17,29
66b0ce2b37f5b9ab41e82585,0.2110210376255588,0.5131133544988353,6.42660642744321,2.15861964825098,-14.974996458953404,-10.705199236453861,43,10,33
66cc85c87017ef38adbaebc6,0.6467183152276555,0.49006183203857523,1.660637645946972,-0.5058851412787675,-29.28739583670674,-26.120246758550316,48,9,39
67911b9be5af0ac0763a28c7,0.4649413168344336,0.4581043866310416,8.838756126090141,1.6280095054022283,-9.837392400026898,-5.728630268235969,48,9,39
67cc3f4c640c0ff4df30a225,0.5969804697041536,0.31613285206134906,3.453811118000452,-0.853371464831124,-28.355132746549877,-25.17029347700149,43,11,32
