subject,trial,state,chosen_color,ooz,Q_patternA_white,Q_patternA_black,Q_patternB_white,Q_patternB_black,p_patternA,p_patternB
5987bfb80e411a0001d83837,0,white_high,black,0,0.5,0.5,0.5,0.5,0.490223126321884,0.5097768736781161
5987bfb80e411a0001d83837,1,black_high,white,0,0.5,0.5,0.5,0.2603296281662253,0.490223126321884,0.531175644232496
5987bfb80e411a0001d83837,2,black_high,white,1,0.2603296281662253,0.5,0.5,0.2603296281662253,0.5116577858869765,0.531175644232496
5987bfb80e411a0001d83837,3,white_high,white,1,0.13851288588444083,0.5,0.5,0.2603296281662253,0.5225408656219872,0.531175644232496
5987bfb80e411a0001d83837,4,white_high,white,1,0.13851288588444083,0.5,0.6403798059481753,0.2603296281662253,0.5225408656219872,0.5436613356724518
5987bfb80e411a0001d83837,5,black_high,white,0,0.13851288588444083,0.5,0.761864580818918,0.2603296281662253,0.5225408656219872,0.5544229197239093
5987bfb80e411a0001d83837,6,black_high,white,0,0.07211801615705454,0.5,0.761864580818918,0.2603296281662253,0.528464229089046,0.5544229197239093
5987bfb80e411a0001d83837,7,black_high,black,0,0.03754891266050367,0.5,0.761864580818918,0.2603296281662253,0.5315452187810427,0.5544229197239093
5987bfb80e411a0001d83837,8,black_high,white,0,0.03754891266050367,0.5479340743667549,0.761864580818918,0.2603296281662253,0.5358133424689684,0.5544229197239093
5987bfb80e411a0001d83837,9,white_high,black,0,0.019550188941909977,0.5479340743667549,0.761864580818918,0.2603296281662253,0.537414656581647,0.5544229197239093
5987bfb80e411a0001d83837,10,white_high,white,0,0.019550188941909977,0.5479340743667549,0.761864580818918,0.13554303060233022,0.537414656581647,0.5654240245766236
5987bfb80e411a0001d83837,11,black_high,black,0,0.019550188941909977,0.5479340743667549,0.7801444410092516,0.13554303060233022,0.537414656581647,0.5670304323374253
5987bfb80e411a0001d83837,12,white_high,black,0,0.019550188941909977,0.6208254682462888,0.7801444410092516,0.13554303060233022,0.5438914458614827,0.5670304323374253
5987bfb80e411a0001d83837,13,white_high,white,0,0.019550188941909977,0.6208254682462888,0.7801444410092516,0.07057173351445584,0.5438914458614827,0.5727283983327613
5987bfb80e411a0001d83837,14,white_high,black,0,0.019550188941909977,0.6208254682462888,0.7417279450550569,0.07057173351445584,0.5438914458614827,0.5693615131248912
5987bfb80e411a0001d83837,15,black_high,white,0,0.019550188941909977,0.6208254682462888,0.7417279450550569,0.03674382628972845,0.5438914458614827,0.5723265946285476
5987bfb80e411a0001d83837,16,white_high,white,0,0.010178986835653747,0.6208254682462888,0.7417279450550569,0.03674382628972845,0.5447230980392347,0.5723265946285476
5987bfb80e411a0001d83837,17,black_high,black,0,0.010178986835653747,0.6208254682462888,0.6737919664738923,0.03674382628972845,0.5447230980392347,0.5663668306659023
5987bfb80e411a0001d83837,18,white_high,black,1,0.010178986835653747,0.7067111215433977,0.6737919664738923,0.03674382628972845,0.5523328720116927,0.5663668306659023
5987bfb80e411a0001d83837,19,white_high,white,1,0.010178986835653747,0.7067111215433977,0.6737919664738923,0.019550188941909977,0.5523328720116927,0.5678770489334068
5987bfb80e411a0001d83837,20,black_high,white,1,0.010178986835653747,0.7067111215433977,0.592469024710703,0.019550188941909977,0.5523328720116927,0.5607233130208268
5987bfb80e411a0001d83837,21,black_high,black,1,0.005415906179860067,0.7067111215433977,0.592469024710703,0.019550188941909977,0.5527542147276527,0.5607233130208268
5987bfb80e411a0001d83837,22,white_high,black,0,0.005415906179860067,0.7503640370596002,0.592469024710703,0.019550188941909977,0.5566121537393504,0.5607233130208268
5987bfb80e411a0001d83837,23,black_high,white,0,0.005415906179860067,0.7503640370596002,0.592469024710703,0.010178986835653747,0.5566121537393504,0.5615490154190174
5987bfb80e411a0001d83837,24,white_high,white,0,0.0028198416839722656,0.7503640370596002,0.592469024710703,0.010178986835653747,0.5568413773630254,0.5615490154190174
5987bfb80e411a0001d83837,25,black_high,white,0,0.0028198416839722656,0.7503640370596002,0.7398811511066814,0.010178986835653747,0.5568413773630254,0.5744899110991665
5987bfb80e411a0001d83837,26,white_high,black,0,0.0014681766741522447,0.7503640370596002,0.7398811511066814,0.010178986835653747,0.5569607151890005,0.5744899110991665
5987bfb80e411a0001d83837,27,white_high,white,0,0.0014681766741522447,0.7503640370596002,0.7398811511066814,0.0052997837160692835,0.5569607151890005,0.5749166034701292
5987bfb80e411a0001d83837,28,black_high,white,1,0.0014681766741522447,0.7503640370596002,0.8166326392103967,0.0052997837160692835,0.5569607151890005,0.5816135418966126
5987bfb80e411a0001d83837,29,white_high,white,1,0.0007811688187684797,0.7503640370596002,0.8166326392103967,0.0052997837160692835,0.5570213682488536,0.5816135418966126
5987bfb80e411a0001d83837,30,white_high,black,1,0.0007811688187684797,0.7503640370596002,0.8088496836611917,0.0052997837160692835,0.5570213682488536,0.5809357671163942
5987bfb80e411a0001d83837,31,white_high,black,1,0.0007811688187684797,0.7503640370596002,0.8088496836611917,0.0028198416839722656,0.5570213682488536,0.5811517649120487
5987bfb80e411a0001d83837,32,white_high,white,0,0.0007811688187684797,0.7503640370596002,0.8088496836611917,0.0015003455893035905,0.5570213682488536,0.5812666776064237
5987bfb80e411a0001d83837,33,black_high,white,0,0.0007811688187684797,0.7503640370596002,0.5170032235132839,0.0015003455893035905,0.5570213682488536,0.5556571812943332
5987bfb80e411a0001d83837,34,white_high,black,0,0.0004067227762500955,0.7503640370596002,0.5170032235132839,0.0015003455893035905,0.5570544258133476,0.5556571812943332
5987bfb80e411a0001d83837,35,black_high,white,0,0.0004067227762500955,0.7503640370596002,0.5170032235132839,0.0007811688187684796,0.5570544258133476,0.555720712166948
5987bfb80e411a0001d83837,36,white_high,black,0,0.00021176397821584439,0.7503640370596002,0.5170032235132839,0.0007811688187684796,0.5570716373402507,0.555720712166948
5987bfb80e411a0001d83837,37,white_high,white,1,0.00021176397821584439,0.7503640370596002,0.5170032235132839,0.00040672277625009544,0.5570716373402507,0.5557537893827806
5987bfb80e411a0001d83837,38,white_high,black,1,0.00021176397821584439,0.7503640370596002,0.6494266654038318,0.00040672277625009544,0.5570716373402507,0.5674185165273856
5987bfb80e411a0001d83837,39,black_high,white,1,0.00021176397821584439,0.7503640370596002,0.6494266654038318,0.0002164038949011237,0.5570716373402507,0.5674352305738931
5987bfb80e411a0001d83837,40,black_high,black,1,0.00011267269098666487,0.7503640370596002,0.6494266654038318,0.0002164038949011237,0.5570803853533338,0.5674352305738931
5987bfb80e411a0001d83837,41,black_high,black,1,0.00011267269098666487,0.8671768638437976,0.6494266654038318,0.0002164038949011237,0.5673668397204467,0.5674352305738931
5987bfb80e411a0001d83837,42,black_high,black,1,0.00011267269098666487,0.7421560761763497,0.6494266654038318,0.0002164038949011237,0.556355647662616,0.5674352305738931
5987bfb80e411a0001d83837,43,black_high,black,1,0.00011267269098666487,0.6288433329003246,0.6494266654038318,0.0002164038949011237,0.5463272788777082,0.5674352305738931
5987bfb80e411a0001d83837,44,black_high,black,0,0.00011267269098666487,0.7557264005970126,0.6494266654038318,0.0002164038949011237,0.5575537345407561,0.5674352305738931
5987bfb80e411a0001d83837,45,white_high,black,0,0.00011267269098666487,0.6810803919261699,0.6494266654038318,0.0002164038949011237,0.5509555208834066,0.5674352305738931
5987bfb80e411a0001d83837,46,black_high,black,0,0.00011267269098666487,0.6810803919261699,0.6494266654038318,0.00011267269098666485,0.5509555208834066,0.5674443403156803
5b2150d538b0be00014137fb,0,white_high,white,0,0.5,0.5,0.5,0.5,0.5659591539747043,0.43404084602529575
5b2150d538b0be00014137fb,1,white_high,black,0,0.5,0.5,0.619171418027009,0.5,0.5659591539747043,0.45066411893227376
5b2150d538b0be00014137fb,2,white_high,black,0,0.5,0.5,0.619171418027009,0.30138096995498503,0.5659591539747043,0.4785976161099848
5b2150d538b0be00014137fb,3,black_high,white,0,0.5,0.5,0.619171418027009,0.1816609781020152,0.5659591539747043,0.4955110900471956
5b2150d538b0be00014137fb,4,white_high,white,0,0.30138096995498503,0.5,0.619171418027009,0.1816609781020152,0.5933204544477171,0.4955110900471956
5b2150d538b0be00014137fb,5,white_high,white,0,0.30138096995498503,0.5,0.6512796071297879,0.1816609781020152,0.5933204544477171,0.5000505396673767
5b2150d538b0be00014137fb,6,white_high,black,0,0.30138096995498503,0.5,0.6706332014803751,0.1816609781020152,0.5933204544477171,0.5027867909682169
5b2150d538b0be00014137fb,7,black_high,white,0,0.30138096995498503,0.5,0.6706332014803751,0.10949832356671328,0.5933204544477171,0.5129865117519876
5b2150d538b0be00014137fb,8,black_high,black,0,0.1816609781020152,0.5,0.6706332014803751,0.10949832356671328,0.6095485309231043,0.5129865117519876
5b2150d538b0be00014137fb,9,black_high,white,0,0.1816609781020152,0.619171418027009,0.6706332014803751,0.10949832356671328,0.6254650679951206,0.5129865117519876
5b2150d538b0be00014137fb,10,black_high,white,0,0.10949832356671328,0.619171418027009,0.6706332014803751,0.10949832356671328,0.634975249515493,0.5129865117519876
5b2150d538b0be00014137fb,11,black_high,white,0,0.0660014219299617,0.619171418027009,0.6706332014803751,0.10949832356671328,0.6406576906447183,0.5129865117519876
5b2150d538b0be00014137fb,12,white_high,black,1,0.03978314511932016,0.619171418027009,0.6706332014803751,0.10949832356671328,0.6440640048788061,0.5129865117519876
5b2150d538b0be00014137fb,13,white_high,white,1,0.03978314511932016,0.619171418027009,0.6706332014803751,0.05861450447170731,0.6440640048788061,0.5201726129465235
5b2150d538b0be00014137fb,14,white_high,white,1,0.03978314511932016,0.619171418027009,0.637809986209515,0.05861450447170731,0.6440640048788061,0.5155379011289586
5b2150d538b0be00014137fb,15,black_high,white,1,0.03978314511932016,0.619171418027009,0.6667096561601967,0.05861450447170731,0.6440640048788061,0.5196187665058352
5b2150d538b0be00014137fb,16,white_high,black,1,0.02129593642659059,0.619171418027009,0.6667096561601967,0.05861450447170731,0.6464571751713694,0.5196187665058352
5b2150d538b0be00014137fb,17,white_high,black,1,0.02129593642659059,0.619171418027009,0.6667096561601967,0.03137637200783787,0.6464571751713694,0.5234626241355029
5b2150d538b0be00014137fb,18,white_high,black,1,0.02129593642659059,0.619171418027009,0.6667096561601967,0.01679578679794913,0.6464571751713694,0.5255191304447979
5b2150d538b0be00014137fb,19,black_high,black,0,0.02129593642659059,0.619171418027009,0.6667096561601967,0.008990792628659986,0.6464571751713694,0.5266196280882427
5b2150d538b0be00014137fb,20,white_high,white,0,0.02129593642659059,0.691003413138791,0.6667096561601967,0.008990792628659986,0.6556855037306053,0.5266196280882427
5b2150d538b0be00014137fb,21,black_high,black,0,0.02129593642659059,0.691003413138791,0.7196576537758532,0.008990792628659986,0.6556855037306053,0.5340778841282533
5b2150d538b0be00014137fb,22,white_high,black,0,0.02129593642659059,0.5356819758149571,0.7196576537758532,0.008990792628659986,0.6355928020744304,0.5340778841282533
5b2150d538b0be00014137fb,23,black_high,black,0,0.02129593642659059,0.5356819758149571,0.7196576537758532,0.005419307606179352,0.6355928020744304,0.5345804530541475
5b2150d538b0be00014137fb,24,black_high,white,0,0.02129593642659059,0.5612315429710472,0.7196576537758532,0.005419307606179352,0.6389328354267528,0.5345804530541475
5b2150d538b0be00014137fb,25,white_high,white,0,0.01283637995269114,0.5612315429710472,0.7196576537758532,0.005419307606179352,0.6400357968363699,0.5345804530541475
5b2150d538b0be00014137fb,26,black_high,black,0,0.01283637995269114,0.5612315429710472,0.7118488855240118,0.005419307606179352,0.6400357968363699,0.5334815363692561
5b2150d538b0be00014137fb,27,white_high,white,0,0.01283637995269114,0.6560794616519181,0.7118488855240118,0.005419307606179352,0.6522988033962299,0.5334815363692561
5b2150d538b0be00014137fb,28,white_high,white,1,0.01283637995269114,0.6560794616519181,0.6674182512152216,0.005419307606179352,0.6522988033962299,0.5272230066940903
5b2150d538b0be00014137fb,29,white_high,white,1,0.01283637995269114,0.6560794616519181,0.7754988797077151,0.005419307606179352,0.6522988033962299,0.5424284981446328
5b2150d538b0be00014137fb,30,black_high,black,1,0.01283637995269114,0.6560794616519181,0.8798244439673258,0.005419307606179352,0.6522988033962299,0.5570314176191526
5b2150d538b0be00014137fb,31,black_high,white,1,0.01283637995269114,0.7229592676509378,0.8798244439673258,0.005419307606179352,0.6608270686146851,0.5570314176191526
5b2150d538b0be00014137fb,32,black_high,black,0,0.006871320268927593,0.7229592676509378,0.8798244439673258,0.005419307606179352,0.6615827639657236,0.5570314176191526
5b2150d538b0be00014137fb,33,black_high,black,0,0.006871320268927593,0.6741151666991885,0.8798244439673258,0.005419307606179352,0.6553708886866936,0.5570314176191526
5b2150d538b0be00014137fb,34,white_high,black,0,0.006871320268927593,0.6049499956473506,0.8798244439673258,0.005419307606179352,0.6464834381392218,0.5570314176191526
5b2150d538b0be00014137fb,35,black_high,black,0,0.006871320268927593,0.6049499956473506,0.8798244439673258,0.0032665523656695227,0.6464834381392218,0.5573318010562569
5b2150d538b0be00014137fb,36,black_high,black,0,0.006871320268927593,0.6824312809969489,0.8798244439673258,0.0032665523656695227,0.6564323408937474,0.5573318010562569
5b2150d538b0be00014137fb,37,white_high,black,0,0.006871320268927593,0.6099626328339818,0.8798244439673258,0.0032665523656695227,0.6471310454795768,0.5573318010562569
5b2150d538b0be00014137fb,38,black_high,white,0,0.006871320268927593,0.6099626328339818,0.8798244439673258,0.0019689534407484636,0.6471310454795768,0.5575128405192529
5b2150d538b0be00014137fb,39,white_high,white,0,0.004141770335041493,0.6099626328339818,0.8798244439673258,0.0019689534407484636,0.6474834625497139,0.5575128405192529
5b2150d538b0be00014137fb,40,black_high,black,0,0.004141770335041493,0.6099626328339818,0.768667524679974,0.0019689534407484636,0.6474834625497139,0.5419538839000642
5b2150d538b0be00014137fb,41,black_high,black,0,0.004141770335041493,0.6060050958936216,0.768667524679974,0.0019689534407484636,0.6469724456428001,0.5419538839000642
5b2150d538b0be00014137fb,42,white_high,black,0,0.004141770335041493,0.7227910612771937,0.768667524679974,0.0019689534407484636,0.6619070003117985,0.5419538839000642
5b2150d538b0be00014137fb,43,black_high,black,0,0.004141770335041493,0.7227910612771937,0.768667524679974,0.0011868101955379543,0.6619070003117985,0.5420636855052502
5b2150d538b0be00014137fb,44,white_high,black,0,0.004141770335041493,0.7931851963260543,0.768667524679974,0.0011868101955379543,0.6707577747390715,0.5420636855052502
5b2150d538b0be00014137fb,45,black_high,black,0,0.004141770335041493,0.7931851963260543,0.768667524679974,0.0007153640157673883,0.6707577747390715,0.5421298677608295
5b2150d538b0be00014137fb,46,black_high,white,0,0.004141770335041493,0.795892295717387,0.768667524679974,0.0007153640157673883,0.6710957856806512,0.5421298677608295
5b2150d538b0be00014137fb,47,white_high,black,0,0.002496501521811177,0.795892295717387,0.768667524679974,0.0007153640157673883,0.6713011289960087,0.5421298677608295
5d83b53430e67e0018bf3b38,0,white_high,black,0,0.5,0.5,0.5,0.5,0.38451495937987457,0.6154850406201253
5d83b53430e67e0018bf3b38,1,black_high,white,0,0.5,0.5,0.5,0.3925182123645033,0.38451495937987457,0.7178075267977471
5d83b53430e67e0018bf3b38,2,white_high,black,0,0.3925182123645033,0.5,0.5,0.3925182123645033,0.49818905894032606,0.7178075267977471
5d83b53430e67e0018bf3b38,3,black_high,black,1,0.3925182123645033,0.5,0.5,0.3081410940756506,0.49818905894032606,0.7853681791893048
5d83b53430e67e0018bf3b38,4,black_high,white,1,0.3925182123645033,0.517399718636498,0.5,0.3081410940756506,0.5169282517773742,0.7853681791893048
5d83b53430e67e0018bf3b38,5,black_high,white,1,0.32422114781606787,0.517399718636498,0.5,0.3081410940756506,0.589538919329043,0.7853681791893048
5d83b53430e67e0018bf3b38,6,black_high,white,1,0.2678075803360476,0.517399718636498,0.5,0.3081410940756506,0.6468380846700462,0.7853681791893048
5d83b53430e67e0018bf3b38,7,black_high,white,0,0.2212098148703619,0.517399718636498,0.5,0.3081410940756506,0.6912519300870898,0.7853681791893048
5d83b53430e67e0018bf3b38,8,white_high,white,0,0.17365776218079435,0.517399718636498,0.5,0.3081410940756506,0.7331963354604799,0.7853681791893048
5d83b53430e67e0018bf3b38,9,black_high,white,0,0.17365776218079435,0.517399718636498,0.5859854301083973,0.3081410940756506,0.7331963354604799,0.8412790585775298
5d83b53430e67e0018bf3b38,10,black_high,black,0,0.13632766874885088,0.517399718636498,0.5859854301083973,0.3081410940756506,0.7634650761110628,0.8412790585775298
5d83b53430e67e0018bf3b38,11,white_high,white,0,0.13632766874885088,0.5996448430180844,0.5859854301083973,0.3081410940756506,0.8214496906002472,0.8412790585775298
5d83b53430e67e0018bf3b38,12,white_high,white,1,0.13632766874885088,0.5996448430180844,0.6104944096852808,0.3081410940756506,0.8214496906002472,0.8548794056582639
5d83b53430e67e0018bf3b38,13,black_high,white,1,0.13632766874885088,0.5996448430180844,0.6608675678369746,0.3081410940756506,0.8214496906002472,0.8797933197709509
