subject,trial,V_target,V_distractor,p_target
5987bfb80e411a0001d83837,0,0.0,0.0,0.5
5987bfb80e411a0001d83837,1,0.0,0.0,0.5
5987bfb80e411a0001d83837,2,0.0,0.0,0.5
5987bfb80e411a0001d83837,3,0.0,0.0,0.5
5987bfb80e411a0001d83837,4,0.6785754756698712,0.20599439139829961,0.5861786360523619
5987bfb80e411a0001d83837,5,0.0767855674784787,0.040298584895406026,0.5067203516822467
5987bfb80e411a0001d83837,6,0.9068197094421625,0.4576150031071173,0.5819946073575325
5987bfb80e411a0001d83837,7,0.7834863004368997,0.23387791429680682,0.5998746095343521
5987bfb80e411a0001d83837,8,-0.0371202281370811,-0.08094834026803406,0.5080722616973559
5987bfb80e411a0001d83837,9,0.8881831321144521,0.22244961750848774,0.6202246397400961
5987bfb80e411a0001d83837,10,-0.17383126905532295,0.1344464353457181,0.4434593470027769
5987bfb80e411a0001d83837,11,-0.10888700047703975,0.11071632816371794,0.4596379600917092
5987bfb80e411a0001d83837,12,0.2981116644110643,0.4435093978635294,0.4732439015893263
5987bfb80e411a0001d83837,13,-0.0018514977031696758,0.1750286833913256,0.46746541149017046
5987bfb80e411a0001d83837,14,0.010781354212678756,-0.3683884498469625,0.5693908452754105
5987bfb80e411a0001d83837,15,-0.03956829816116609,-0.1897036914366152,0.52762617537157
5987bfb80e411a0001d83837,16,-0.33526841547578434,0.3591460700504879,0.3748106743396304
5987bfb80e411a0001d83837,17,0.38831365654819544,0.3622797866756172,0.5047951877917409
5987bfb80e411a0001d83837,18,0.2743361282440123,0.13955360457271238,0.5248060200939128
5987bfb80e411a0001d83837,19,0.34670472593629686,0.6920893510435221,0.43672263482749973
5987bfb80e411a0001d83837,20,0.4707312904652559,0.1867933981189775,0.5521103130564914
5987bfb80e411a0001d83837,21,0.6690566721831077,0.7922165300623153,0.4773299998076642
5987bfb80e411a0001d83837,22,0.3314898573958299,0.3427821183825394,0.49792002264249696
5987bfb80e411a0001d83837,23,-0.0012829979064844649,0.47929123639627036,0.41239352428633
5987bfb80e411a0001d83837,24,0.651351672630738,-0.1604799994113691,0.6452317056263984
5987bfb80e411a0001d83837,25,-0.16934671744959262,-0.011184979477928902,0.47090016241032917
5987bfb80e411a0001d83837,26,-0.13629507445742067,0.8548144286073767,0.32514345837482855
5987bfb80e411a0001d83837,27,-0.27081641490669106,-0.2358409742751928,0.4935580200632854
5987bfb80e411a0001d83837,28,-0.21217161018094255,-0.21770019060873944,0.5010183410174306
5987bfb80e411a0001d83837,29,0.7596697212388102,0.268103204848543,0.5895676494504771
5987bfb80e411a0001d83837,30,0.6399704867528259,0.6342376515485009,0.5010559637692725
5987bfb80e411a0001d83837,31,0.7728814166383008,0.8071535493029314,0.4936875455059496
5987bfb80e411a0001d83837,32,0.2628074479721219,0.008816234495463399,0.5466481108478839
5987bfb80e411a0001d83837,33,-0.16644362545967967,0.4722194706912147,0.38448447393386065
5987bfb80e411a0001d83837,34,0.21271927961630796,0.6171664681919948,0.42604886281505233
5987bfb80e411a0001d83837,35,0.35417412674426263,0.6156610412346942,0.4519835846385919
5987bfb80e411a0001d83837,36,0.36623591907091724,0.5907129236695734,0.45874622848076674
5987bfb80e411a0001d83837,37,-0.17367489164188255,-0.23174051594388764,0.5106938249845171
5987bfb80e411a0001d83837,38,-0.2875017032192522,-0.2253583806672104,0.4885554475493955
5987bfb80e411a0001d83837,39,0.4033469906519419,0.6536104914591625,0.45403262916765913
5987bfb80e411a0001d83837,40,0.15173413941497044,0.37388839842086746,0.4591711863152081
5987bfb80e411a0001d83837,41,-0.003512866921240254,-0.03403208098479983,0.5056212804394916
5987bfb80e411a0001d83837,42,0.9617753165634855,0.5983637641909667,0.5665418802392247
5987bfb80e411a0001d83837,43,0.603344162927997,-0.020982621131874046,0.6130127519561434
5987bfb80e411a0001d83837,44,0.6034598419897237,0.5365583012414028,0.5123205020097734
5987bfb80e411a0001d83837,45,0.8543910257070714,0.8085095490166831,0.5084503799733805
5987bfb80e411a0001d83837,46,0.6618599599818712,0.610003913973681,0.5095505147311277
5987bfb80e411a0001d83837,47,0.3154617596382666,0.38706489102715025,0.48681404740696604
5b2150d538b0be00014137fb,0,0.0,0.0,0.5
5b2150d538b0be00014137fb,1,0.25112298863765825,0.1459097542567867,0.5288403130542303
5b2150d538b0be00014137fb,2,0.16061903905955505,0.14414947027291333,0.5045194161752987
5b2150d538b0be00014137fb,3,0.001822287443253268,0.019636700306433136,0.4951115676439866
5b2150d538b0be00014137fb,4,0.15482392357319735,0.22044340720988007,0.4820006411175955
5b2150d538b0be00014137fb,5,0.2198468639260817,0.01844675396353488,0.5550437373777509
5b2150d538b0be00014137fb,6,0.12650488322985087,0.4901274031608237,0.40151954581125127
5b2150d538b0be00014137fb,7,0.1310745420987509,0.03335749773877216,0.5267895956636856
5b2150d538b0be00014137fb,8,0.22664298785125536,0.001778187125122106,0.5613954675396001
5b2150d538b0be00014137fb,9,0.21358982116648909,0.2746249660246157,0.4832571451590769
5b2150d538b0be00014137fb,10,0.20906246948245094,0.17991915633773992,0.5079967556150776
5b2150d538b0be00014137fb,11,0.14974071437407774,0.16101256271390318,0.4969068460813715
5b2150d538b0be00014137fb,12,0.17639844783103825,0.1704091412394686,0.5016435651194621
5b2150d538b0be00014137fb,13,0.14365710563530298,0.049933857517203396,0.5256966473715388
5b2150d538b0be00014137fb,14,0.16813343762461236,0.2648614903476957,0.4734810297683041
5b2150d538b0be00014137fb,15,0.19683192895577267,0.23858997742824584,0.4885428631390563
5b2150d538b0be00014137fb,16,0.29671849867267164,0.27363642507054703,0.5063337880287927
