subject,trial,state,chosen_color,ooz,V_white,V_black,p_black,p_target
5987bfb80e411a0001d83837,0,white_high,black,0,0.0,0.0,0.4236504595964679,0.5763495404035321
5987bfb80e411a0001d83837,1,black_high,white,0,0.0,0.0,0.4236504595964679,0.4236504595964679
5987bfb80e411a0001d83837,2,black_high,white,1,0.0,0.0,0.4236504595964679,0.4236504595964679
5987bfb80e411a0001d83837,3,white_high,white,1,0.0,0.0,0.4236504595964679,0.5763495404035321
5987bfb80e411a0001d83837,4,white_high,white,0,0.5581507903771596,0.0,0.38121964282810683,0.6187803571718932
5987bfb80e411a0001d83837,5,black_high,white,0,-0.8575153750855817,0.0,0.4908676290207399,0.4908676290207399
5987bfb80e411a0001d83837,6,black_high,white,0,-0.7189009134860074,0.0,0.4799148750191504,0.4799148750191504
5987bfb80e411a0001d83837,7,black_high,black,1,-0.971342807553624,0.0,0.49986884261321934,0.49986884261321934
5987bfb80e411a0001d83837,8,black_high,white,0,-0.9071410105984934,2.051170066284269,0.6520462569828307,0.6520462569828307
5987bfb80e411a0001d83837,9,white_high,black,1,0.04474039082333858,0.22600740839007533,0.43770969201163623,0.5622903079883638
5987bfb80e411a0001d83837,10,white_high,white,0,0.040422633306581135,-0.6843285517433382,0.36886754323536997,0.63113245676463
5987bfb80e411a0001d83837,11,black_high,black,0,1.5093993958868244,1.9272521118712942,0.4562076666191115,0.4562076666191115
5987bfb80e411a0001d83837,12,white_high,black,0,0.7707845434479376,-0.7411272062299609,0.31300804716604697,0.686991952833953
5987bfb80e411a0001d83837,13,white_high,white,0,0.6144741046392836,0.2688111987825742,0.39719776647170274,0.6028022335282972
5987bfb80e411a0001d83837,14,white_high,black,0,0.31586169030205263,0.2838939283483567,0.42118311337505765,0.5788168866249424
5987bfb80e411a0001d83837,15,black_high,white,0,-0.5845677345505519,1.4271499763914364,0.5814173328247504,0.5814173328247504
5987bfb80e411a0001d83837,16,white_high,white,1,0.05096452694579569,-0.8104540907268232,0.35886071110795154,0.6411392888920484
5987bfb80e411a0001d83837,17,black_high,black,0,-0.6766466696104824,1.0304483043751087,0.5577974925067586,0.5577974925067586
5987bfb80e411a0001d83837,18,white_high,black,1,0.052066616723580914,-0.8996729191346771,0.35231355835447065,0.6476864416455294
5987bfb80e411a0001d83837,19,white_high,white,1,0.08024102298025633,2.3881770814242596,0.6040339797536988,0.39596602024630123
5987bfb80e411a0001d83837,20,black_high,white,1,-0.602102862090606,1.1763137061398596,0.5633552239034497,0.5633552239034497
5987bfb80e411a0001d83837,21,black_high,black,0,-0.6287177961328103,1.698262622528958,0.6054740224586127,0.6054740224586127
5987bfb80e411a0001d83837,22,white_high,black,0,0.45702102399442046,1.997099770098675,0.5447283685259968,0.4552716314740032
5987bfb80e411a0001d83837,23,black_high,white,0,-0.4518726504925481,1.2283608401348365,0.5557004771588642,0.5557004771588642
5987bfb80e411a0001d83837,24,white_high,white,0,-0.1931725313281818,0.22979745814771102,0.4566092984320506,0.5433907015679493
5987bfb80e411a0001d83837,25,black_high,white,0,0.978633455517093,1.2965777137426564,0.4483783428685716,0.4483783428685716
5987bfb80e411a0001d83837,26,white_high,black,0,0.01286184065385329,0.08272557947505033,0.429055815886729,0.570944184113271
5987bfb80e411a0001d83837,27,white_high,white,0,-0.032161412315415416,-0.3996365374540942,0.39554681257522273,0.6044531874247773
5987bfb80e411a0001d83837,28,black_high,white,1,0.3177970998951274,1.0714111738479948,0.4826563693816378,0.4826563693816378
5987bfb80e411a0001d83837,29,white_high,white,1,0.03597222188415669,0.0858909354265649,0.42751088390726566,0.5724891160927343
5987bfb80e411a0001d83837,30,white_high,black,1,-0.003684994696973115,-0.6641655361246008,0.3736133622716455,0.6263866377283545
5987bfb80e411a0001d83837,31,white_high,black,0,-0.027369824693068978,1.4760901318894928,0.5418540299988078,0.45814597000119217
5987bfb80e411a0001d83837,32,white_high,white,0,-0.018412350585229942,1.0119500837921338,0.5045363821859443,0.4954636178140557
5987bfb80e411a0001d83837,33,black_high,white,0,-0.03730845863906776,1.561684072980797,0.5493463926108693,0.5493463926108693
5987bfb80e411a0001d83837,34,white_high,black,0,-0.3538748682458597,0.35377606970934283,0.4790266523689815,0.5209733476310185
5987bfb80e411a0001d83837,35,black_high,white,0,-0.05692103387167086,1.4389604712835917,0.5412588159889282,0.5412588159889282
5987bfb80e411a0001d83837,36,white_high,black,0,-0.02982783560361882,-0.4100873617110097,0.3945802720870183,0.6054197279129817
5987bfb80e411a0001d83837,37,white_high,white,0,-0.11493682666193326,0.3762512333715329,0.46196861610142387,0.5380313838985762
5987bfb80e411a0001d83837,38,white_high,black,1,0.24413424719176166,0.8482171018751629,0.4708565575124268,0.5291434424875732
5987bfb80e411a0001d83837,39,black_high,white,1,0.5612748797218698,2.8855332829159996,0.6052683082685048,0.6052683082685048
5987bfb80e411a0001d83837,40,black_high,black,1,0.047034564652793195,3.1990654463706534,0.6658175431488345,0.6658175431488345
5987bfb80e411a0001d83837,41,black_high,black,1,0.28745940804058717,1.8097651492927556,0.5433336625810938,0.5433336625810938
5987bfb80e411a0001d83837,42,black_high,black,1,0.4552803621813716,2.3373240561975814,0.5714017292088768,0.5714017292088768
