participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
612376826a580ca0368bb19f,48,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[[7.071897223536198], [26.82974109545447]]","[[[24.754919597924008]], [[81.79176820567555]]]","[[0.6189797411113503, 0.38102025888864965], [0.48356093054294896, 0.516439069457051]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-180.83347111418655
615ab5adc70f6edcacba5860,48,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[4.782524553308924], [31.162342276893316]]","[[[7.773359395108113]], [[100.66712755053554]]]","[[5.7640801750378086e-40, 1.0], [0.15562231359262535, 0.8443776864073748]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-184.77005745362544
6162fc52fa68079d28dc5be9,48,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[[6.331278815363422], [29.486233539238096]]","[[[8.831557365900062]], [[224.42600998017986]]]","[[0.317027604267219, 0.682972395732781], [0.34799187980356217, 0.652008120196438]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-193.25715082400876
63039f41fa5c21d483996be2,48,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[[7.999808990540217], [29.205026448084634]]","[[[23.6152782358001]], [[101.40643759695755]]]","[[0.8400797129798874, 0.15992028702011254], [0.5672918603393152, 0.4327081396606848]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-168.89360076588153
650f65aac58fe4dc08bbe23f_2,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[13.148936170212766], [108.0]]","[[[98.59505205975556]], [[0.01]]]","[[0.9782608695652175, 0.021739130434782518], [1.0, 0.0]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.01310132957286
654fd3d72b14d852c7fff2b4,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[14.04864474088357], [58.69967463560271]]","[[[126.23379184350433]], [[928.7342852543453]]]","[[0.9145085070812614, 0.08549149291873863], [0.9999426749458354, 5.732505416457495e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-195.5171493807474
6550edd3c5d5a51c51ab1224,48,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[[8.0439872236552], [19.43014184046367]]","[[[25.003055827510252]], [[103.19913835104273]]]","[[0.3750752766079913, 0.6249247233920088], [0.999999999999851, 1.4898214880884716e-13]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-167.69823803741377
656bb5b282d8f0267db9d167,48,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[[5.32092457944978], [22.106400657899503]]","[[[16.04765496220621]], [[179.0763707440347]]]","[[0.5591150381878637, 0.4408849618121364], [0.4154751777937613, 0.5845248222062388]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-181.36496017877212
65ccca52871269168cc029b5,48,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[[2.446114823620785], [14.744762186313762]]","[[[1.412248199481995]], [[57.52981470014201]]]","[[0.41322559340187504, 0.586774406598125], [0.2874803010966762, 0.7125196989033237]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-159.2250258469607
65f2f5ae1f9747ed36bd7226,48,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[[4.1082170419413675], [18.734131297920886]]","[[[5.693889012676339]], [[45.727461442234755]]]","[[0.5000390683523234, 0.4999609316476767], [0.4741512896418603, 0.5258487103581396]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-160.53741265060648
