participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
612376826a580ca0368bb19f,48,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[[7.07381754525255], [26.834325591985667]]","[[[24.76826055680398]], [[81.75067533415051]]]","[[0.6191136034626096, 0.38088639653739037], [0.48371284872556547, 0.5162871512744345]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-180.83351113490582
615ab5adc70f6edcacba5860,48,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[4.781544443521582], [31.16113919413311]]","[[[7.770445425126464]], [[100.68997473002511]]]","[[5.124923344178082e-33, 1.0], [0.15556052842425896, 0.8444394715757411]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-184.7700523811348
6162fc52fa68079d28dc5be9,48,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[[6.331549576035192], [29.486776205552292]]","[[[8.833120179738508]], [[224.42206537218425]]]","[[0.3170477441759428, 0.6829522558240572], [0.348012698252137, 0.651987301747863]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-193.25715571796977
63039f41fa5c21d483996be2,48,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[[8.000354757983578], [29.21118397382718]]","[[[23.618937588644517]], [[101.33460197794311]]]","[[0.840137602565116, 0.15986239743488395], [0.5673682503138396, 0.4326317496861603]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-168.89358032923374
650f65aac58fe4dc08bbe23f_2,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[13.148936170212766], [108.0]]","[[[98.59505205975556]], [[0.01]]]","[[0.9782608695652177, 0.02173913043478229], [1.0, 0.0]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-178.01310132957286
654fd3d72b14d852c7fff2b4,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[14.048981563982156], [58.710360257510814]]","[[[126.24044684509145]], [[928.6215083513247]]]","[[0.9145384208485572, 0.08546157915144273], [0.9999483689363812, 5.1631063618831144e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-195.51713834085965
6550edd3c5d5a51c51ab1224,48,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[[8.04394998501481], [19.429825465124807]]","[[[25.002972646406004]], [[103.19965416568375]]]","[[0.3750409369647196, 0.6249590630352805], [0.9999999999942965, 5.703593882923438e-12]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-167.6982352301032
656bb5b282d8f0267db9d167,48,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[[5.323589000687871], [22.111276231642698]]","[[[16.065051646794835]], [[179.09438744363837]]]","[[0.5593695294636399, 0.44063047053636], [0.415618293293608, 0.584381706706392]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-181.36501366963145
65ccca52871269168cc029b5,48,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]","[[2.4463922647892273], [14.745957189584818]]","[[[1.4130802540219605]], [[57.52237727275923]]]","[[0.4134481136957711, 0.5865518863042289], [0.28747597528427515, 0.7125240247157248]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-159.22503559988056
65f2f5ae1f9747ed36bd7226,48,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[[4.108260948876218], [18.734290990128176]]","[[[5.694053618831729]], [[45.72615460062164]]]","[[0.5000487833911214, 0.49995121660887865], [0.47415560417454905, 0.525844395825451]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-160.53741445024966
65feaaac53eb219f09ad5ea0,47,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[8.413621892210793], [25.916888450721988]]","[[[26.677562091122567]], [[170.10821694170707]]]","[[0.8992624021965683, 0.10073759780343162], [0.06520750278643277, 0.9347924972135672]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-182.87504250031097
65ff850ad8ac7b0e4cf9ec57,48,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[4.308941589482815], [25.859892578433954]]","[[[11.201112201020392]], [[155.69850701616986]]]","[[0.3480358540544769, 0.6519641459455231], [0.0599185661567493, 0.9400814338432507]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-190.16236522367933
